RegionID,SizeRank,RegionName,RegionType,State,City,Metro,CountyName,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31
58710,248,2301,zip,MA,Brockton,"Boston-Cambridge-Newton, MA-NH",Plymouth County,256380.8379,258243.7465,260956.9626,264139.5466,267183.9768,269282.0131,270621.1624,272049.2855,273904.7435,276125.2378,278199.5495,280086.5286,281924.0117,284221.4198,287446.8296,291161.2873,295028.7143,298346.6233,301083.7186,302989.3467,305099.1873,307110.4299,309278.4892,311535.036,314226.706,317779.4333,321445.1616,324651.614,327070.479,328794.8771,330702.947,332621.9404,334796.2795,336349.9107,337360.6495,337756.2039,338268.4263,339521.4019,341543.8893,344359.2285,346449.4435,348022.2723,348739.324,349498.8991,349936.1238,351054.0579,353121.6643,355898.4827,360200.1475,365021.7122,369743.4264,372403.3942,373038.0531,372876.7178,373220.7094,375328.14,379448.8588,385004.864,391926.8802,399264.4228,406145.5449,413184.7749,420107.8987,427118.8872,432902.8515,437726.7908,441084.9306,443162.2614,444084.778,444900.6416,445825.6346,447424.2699,451503.4894,458311.9732,467492.1186,475732.0725,482457.1612,486617.8667,488279.5403,486990.6326,484034.725,481749.2385,480585.6911,480298.5908,479790.5373,479298.023,479658.7883,481291.5973,484076.9461,487542.9562,491540.3505,496283.4363,500474.0832,504099.9572,506881.0025,509771.805,511895.0477,514069.5655,516517.5474,519590.2402,522058.7946,523998.3427,525523.0027,527620.4517,530018.9116,532560.7218,534376.6657,535789.5074,536493.0049,536916.3253,535471.2229,533976.1431,532367.1891,532135.1865,532563.2649
58660,314,2148,zip,MA,Malden,"Boston-Cambridge-Newton, MA-NH",Middlesex County,397722.7687,402053.8225,406276.9249,410780.3894,415413.8015,418971.2777,421076.3322,422310.3157,424201.3017,426908.3803,430291.6267,433488.8899,436440.1769,440044.1327,444645.4564,449812.4065,454885.1286,459682.6771,464014.3765,467558.1942,471408.0289,474734.3448,477624.2256,480384.3069,484530.2217,490024.0597,495142.8803,499911.4962,504262.6212,508125.3117,511480.7878,513806.8059,515742.3317,517130.2915,518833.2026,519951.8403,520420.3199,521540.3283,523374.9905,525713.1954,526398.9379,526044.8885,525177.6862,523875.9146,523145.7145,524356.1822,527592.5618,530564.6642,533156.3128,536919.8311,542790.3221,548754.9235,552312.6949,554360.9306,556086.8132,559536.7446,565164.8232,572099.3425,579248.0928,585353.0301,590931.8006,596663.0835,602542.05,608925.1953,616364.5433,624384.8856,628970.4163,628775.8463,624643.4216,621651.4242,620117.943,620665.298,626056.5391,636370.4201,650295.9092,662416.3674,672516.7171,679152.0767,680683.4543,676318.3723,668201.749,660672.2403,655942.5506,654603.8729,653551.3265,653038.7238,653926.2258,658723.2276,666122.3025,674321.5853,681871.1724,688559.12,694252.7367,698915.5911,702818.0468,705857.2045,708291.8537,710720.6078,715034.1994,720414.1511,725972.016,729225.6993,732165.1274,734163.6786,736052.8972,737060.5528,738676.6763,740738.4898,742246.9195,742208.5771,740447.3722,738020.4944,734952.5435,731616.8502,729505.5015
58666,429,2155,zip,MA,Medford,"Boston-Cambridge-Newton, MA-NH",Middlesex County,525180.8839,530999.2091,537740.1115,545074.3949,550506.0452,554057.3249,556073.1955,557185.7183,559999.4069,563620.7982,568847.3704,573099.0191,576834.694,581080.1311,587408.0205,595012.4708,602473.7554,608102.6664,613226.2968,616846.9572,621224.7746,623628.767,625824.8924,628440.2692,633211.3395,638136.4829,641881.7462,644963.8106,649271.5411,653742.0402,659713.7985,665244.2265,670922.98,674328.9047,676694.5002,676728.6652,675245.426,673271.2213,672054.2137,671158.8286,668814.0751,666722.6069,664948.4687,665492.569,667253.5605,672232.7733,677802.7315,681937.8077,684641.8861,686510.5183,691680.7184,697649.606,703268.7845,705928.4912,707623.363,710486.3723,715487.0133,721471.8575,728666.8222,735592.5795,741890.14,748039.182,753840.5882,759988.7748,767298.909,775827.1296,782012.3866,782454.5823,778582.5334,775220.9215,774376.2322,775776.6835,781435.5684,791990.564,807101.3482,822110.2029,835578.1151,845244.667,847913.637,842268.2514,830788.3137,820653.7566,814539.4783,813517.4092,812613.191,812062.5973,812299.9162,818089.4638,827458.2761,838727.455,848048.9437,855402.1061,859894.3189,862759.9425,864941.7422,866646.3526,868980.1209,873298.927,882300.7339,893207.3485,903637.9705,909249.6219,911641.9247,911504.6298,911964.0502,912675.2727,915058.6289,918511.1906,922313.508,925468.0644,926308.0533,927049.9487,925796.8889,923377.9313,919892.1068
58663,467,2151,zip,MA,Revere,"Boston-Cambridge-Newton, MA-NH",Suffolk County,354406.3008,357581.0284,360654.6351,364632.1487,368762.5732,372684.3251,376015.0347,378503.5001,381353.4751,384714.4682,389004.731,393317.0761,397388.6563,400694.4123,404671.4232,408468.8122,412753.0776,415485.3933,417983.7244,419207.6934,420901.9221,422228.9459,424418.4396,427407.9666,431664.1734,436397.0403,441432.4159,446365.4586,450805.8028,454251.5365,457410.001,460504.6032,463401.9957,465527.0953,467496.8487,469240.7775,468736.6136,468302.4406,469009.8856,472181.2536,473833.8056,473840.9259,473623.2692,474564.6389,476259.6284,478861.1257,482168.0286,485904.6583,492187.6159,498726.3089,505205.0864,508373.7423,510141.5316,510709.9659,511086.4671,512936.2713,517618.8406,524584.5552,533366.1198,541707.7394,548345.657,553771.693,559699.0529,566011.0676,571931.1253,575882.1868,577893.6784,577478.7457,575664.4523,574241.2507,573302.2541,573269.3336,575389.9908,580830.0827,589684.7447,598816.3247,607291.7891,613536.3946,616154.3046,614985.218,610571.5775,606457.9129,603003.736,601089.6034,598380.969,596064.3773,595604.8939,598798.047,604133.9997,609336.8511,613854.1998,618378.66,621879.4983,626098.1008,629657.3674,634674.1009,637877.9514,641342.971,644788.3442,650073.3433,655986.1429,661338.7424,666310.0401,670653.2397,674155.6234,676622.7404,678344.7236,680180.3961,681229.3953,681379.7874,680289.5522,680294.5444,680151.6029,680643.2059,680519.9574
58669,547,2169,zip,MA,Quincy,"Boston-Cambridge-Newton, MA-NH",Norfolk County,408840.6987,410365.9483,411206.9464,412983.6287,416726.4212,422005.3726,426312.273,428640.4006,430270.5625,432710.7485,436111.3405,439183.8194,441577.4725,442989.8669,445039.2643,448877.5538,453800.3056,458973.2777,462865.4279,465647.3842,468551.4437,470706.6289,473165.5879,475607.8132,479135.7533,483278.7892,487657.1396,492240.169,496163.9935,498757.6699,500257.2708,501582.3611,503252.5695,504494.014,505536.8743,505816.0919,505951.2186,505385.9726,505368.1555,506159.9693,507318.8982,509349.3446,511445.3115,513883.3393,514863.4628,516074.0154,517852.0448,520046.0949,523333.6965,526397.8821,530455.9649,533658.5053,535360.9942,535871.8911,537143.0444,541510.9949,548757.7443,556970.5448,564843.0577,571365.3341,576252.949,581096.4745,586449.5166,592121.6199,598949.6228,605149.2825,608468.5603,607138.914,602936.2976,600238.3692,600261.4607,602426.8628,608628.076,618044.3545,631361.5242,643452.4494,653692.2096,660173.6429,661804.2648,658141.605,651080.727,645509.1665,642234.8392,640997.2662,638863.5249,636775.1246,636311.5045,639980.6653,646309.0437,652279.0774,657541.859,662712.5325,667778.3739,671683.346,674852.5565,678052.6596,680701.4535,683804.7259,688952.2959,695662.1307,701457.667,703762.7489,704016.0084,703224.5842,703273.6399,703153.6876,703242.339,703651.3247,704390.8658,705631.3862,705579.1461,705098.8326,702813.7449,700078.6836,697723.1706
58638,581,2124,zip,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,441155.0242,444458.5478,446726.9195,449217.6703,452836.8558,457662.6301,461512.9236,464746.9366,467579.2752,471375.1352,476774.9549,482083.6952,486715.499,490425.6198,495308.9664,500923.837,505940.8173,510454.8243,514837.4937,519091.4158,523321.056,526142.9246,529317.7298,532031.0416,536021.9848,540695.866,546221.9052,552185.3804,557558.0309,561759.0008,565225.9319,568661.0907,572147.2004,574705.9251,577139.8006,578615.5954,579485.5422,579771.6049,581667.0851,584671.6954,586946.2273,587803.6937,587969.6659,588574.3037,589492.9989,592756.7734,597206.9508,601346.1211,605422.5635,608966.0897,613397.4351,616083.5141,618831.7256,620220.7122,622386.2181,625658.1279,631559.7275,639697.8453,648935.2122,657911.0122,664638.1448,671220.3184,677638.8586,684210.1534,690076.4706,695000.8413,698250.8527,698958.5488,697540.3404,696390.3058,695480.4823,695632.8035,699502.5464,708734.915,722856.8469,736084.5449,747689.5165,755108.4494,755995.1233,749051.7371,737430.6259,727531.5375,720758.3625,717020.4173,714303.3964,713219.3854,715111.0147,720632.8263,727420.0061,733653.5445,738736.6068,743361.0068,745904.3044,747325.048,747682.3422,748775.605,749862.6861,752550.098,757462.6319,764791.7706,771805.4093,776036.8096,778034.5566,778728.3131,780556.1012,781899.0626,783509.3493,786021.2879,788842.7821,791534.778,792026.5226,791633.6694,789622.4005,787748.9264,785957.2661
58565,733,1960,zip,MA,Peabody,"Boston-Cambridge-Newton, MA-NH",Essex County,399213.1573,402682.7129,405868.6792,408784.2899,410065.1899,410826.6899,411422.0091,412841.3335,415384.0942,418920.0585,422797.3099,426152.7118,429621.1413,433169.0449,436704.0507,439251.6548,441041.0394,442981.4585,445126.6276,447296.4807,450147.7185,453122.9756,456275.3257,458631.8896,461573.1722,464922.0907,468730.195,471551.9362,474162.9618,476748.2847,479647.4896,482511.2842,485048.9743,486894.5222,487674.7355,487503.6136,488001.7068,489852.7019,491584.125,493305.194,494156.6154,495142.6087,495202.7962,495086.4039,495282.1916,496687.6424,499340.5529,502521.341,506733.3094,511070.1645,515580.4481,519112.8595,521117.3015,522377.7592,523483.9894,526889.4577,533311.696,541925.202,551823.4641,561379.2273,569819.3013,577948.3935,587063.601,596634.0111,605600.3619,612406.3491,615508.8638,614407.5567,610641.9936,608168.9066,607728.8474,608368.9661,612123.4606,619263.1624,630370.3293,641522.2535,652450.2928,661219.118,665598.6596,664163.5794,658310.709,652653.3729,648585.7558,646364.8029,643409.5217,640351.1464,639026.1408,641147.5111,646160.2597,651953.8309,658204.2555,664908.276,671390.9138,677205.519,682539.7204,687383.0943,690360.3484,692459.1027,695698.9958,701038.4812,705942.7229,709473.0628,712811.8513,716289.6287,719598.0545,722054.4004,724399.9071,726792.9168,727777.7872,728153.5279,727162.4978,727336.1222,727267.1945,727596.2811,728023.4561
58743,774,2360,zip,MA,Plymouth,"Boston-Cambridge-Newton, MA-NH",Plymouth County,342504.3254,344449.6663,346450.4917,348562.3778,350501.7269,351866.0384,352629.9404,353121.2009,354169.8675,356088.6564,358573.7198,361311.6648,363723.9861,365926.2677,368262.957,370848.6901,373099.7973,374865.2468,375950.3467,377110.6209,378451.7578,380138.0473,381761.0447,382963.6234,383580.8229,384218.3736,386117.8629,388685.9802,391604.9163,393405.5736,395265.1753,396873.1115,398518.3624,399267.0946,399223.1813,398680.6935,398331.8781,398749.2768,400235.1523,402336.4529,403822.7671,404625.8474,404458.0159,404258.5733,403922.3768,404474.5517,405925.3823,407819.9147,410224.3312,413300.3459,417283.7872,421030.0702,423495.2265,424421.2878,425086.7647,427342.5467,431830.1781,438257.9223,446028.4258,454043.7166,461685.788,469439.3546,477300.4264,485490.2426,493942.6536,501947.7587,507533.5537,509995.6937,510805.4781,512206.1125,514151.612,516435.3965,521342.51,529537.1424,540320.5951,550424.3759,558687.782,564807.7483,567864.8342,567461.6434,564532.4392,562277.2018,561445.7786,562010.8116,562242.9194,562295.8981,563744.48,567616.4004,573128.2575,579290.2256,584966.0861,590598.2633,594955.278,598538.229,601539.8598,604758.2313,607252.2892,610519.2319,614644.074,619714.5554,623992.3542,626759.7734,628453.3525,630214.5507,632458.4098,634787.7707,636721.2984,638725.6908,640944.8913,643131.1878,643619.9438,643560.9602,642124.0754,640898.7755,640516.7663
58902,818,2780,zip,MA,Taunton,"Providence-Warwick, RI-MA",Bristol County,274327.651,276395.1717,277891.9558,278995.6571,279919.4213,280775.8228,282069.3927,283150.6291,284425.8065,285824.7717,287690.8477,289952.5013,292443.4806,294909.6941,297226.062,299030.8605,300869.8784,302609.9785,304529.9945,305842.1937,307145.8947,308291.4979,309830.7909,311368.6197,312852.6535,314121.6088,315390.6516,316526.6587,317675.2323,319053.1079,320968.808,322992.4476,325092.6044,326435.2787,327152.3274,327240.6899,327522.3671,328587.7228,329951.0205,331588.1958,332702.6093,333857.9855,334722.8204,335681.8497,336300.8376,337268.7305,339078.2995,341782.6808,345635.0504,349007.2018,351941.1307,353691.7615,354997.2921,355924.9447,357310.3562,359924.364,364273.8686,370350.449,377894.1752,386019.5339,393373.0466,401019.2393,409076.7769,417371.6218,424752.9922,430548.2079,433286.5837,432579.4564,429769.8118,427833.0783,427380.9397,427969.6381,432322.9945,440357.9806,451916.5672,462267.2288,470789.7915,476988.2602,480405.2438,480308.3385,477374.8307,474202.5554,471876.7585,470473.9281,468942.0006,467733.4932,467902.9939,470250.0451,474019.4801,477807.2685,481517.3974,485777.8254,490144.6726,494080.2315,497155.631,499775.9306,501446.2334,503307.8087,506508.6277,510870.2313,514819.394,517479.3927,519784.8888,522240.04,524730.256,527486.9441,530156.6432,532782.6963,534067.3591,534937.6381,534650.4925,534156.3203,533134.7569,532089.1153,532266.6766
58514,822,1844,zip,MA,Methuen,"Boston-Cambridge-Newton, MA-NH",Essex County,323672.532,325990.1061,326963.4292,327471.3187,327886.152,328814.615,329755.6917,330905.7403,333126.6386,336289.0594,339835.4073,342910.5039,345619.8879,348716.8778,351420.3195,353712.491,355392.0454,357519.7752,359589.0551,361184.4768,362825.9973,364638.737,366838.9327,368510.4324,370134.9819,371849.1513,374310.7045,376824.3693,379479.9075,381981.1085,384807.6927,387240.6696,389153.489,389917.7518,389751.2592,388921.6538,387931.4189,387847.5258,388064.9727,389316.4972,390451.6468,391847.037,392609.2441,393641.0958,394925.2284,397175.6826,399931.22,402780.1532,405688.9804,409338.1824,413631.4494,417784.938,420226.5809,421427.8167,422754.5051,425607.4569,430954.7723,438032.6943,446427.5517,454704.3113,462420.2758,469573.0414,476951.7067,484379.7163,492213.0887,499047.5499,503128.411,503868.2896,502818.9131,502423.3787,503057.7103,504138.7147,508517.331,516359.9262,527434.6153,537547.9596,546124.3303,552390.562,555358.0863,554482.5788,550956.456,548216.9429,546813.9189,546328.865,545197.7057,543655.8989,543536.2683,545576.4312,550088.9523,555255.9291,560735.9759,566451.4839,571781.9032,576625.5316,580397.5015,584131.7902,587112.2992,589878.7763,593087.4916,597465.7346,601779.9908,605070.0758,607917.8352,611461.1824,615067.7153,617993.4601,620146.5867,622677.1613,625107.0753,627118.1421,627737.0659,628415.6892,629373.0211,630886.7836,632465.3206
58511,850,1841,zip,MA,Lawrence,"Boston-Cambridge-Newton, MA-NH",Essex County,215294.4737,218097.6487,221241.6799,224469.2586,227303.0231,229881.0633,231692.8259,233343.4279,235353.2675,238002.9589,240865.4322,243013.3548,245087.6377,247677.4715,250943.5786,253672.9251,255832.389,257888.2814,260116.4018,261715.4863,263104.0612,264595.1149,266461.8359,268317.2163,270662.2166,273517.8206,277018.0092,280155.2855,282708.6228,284930.0567,287311.7359,289879.368,292243.2221,293889.5199,294953.3886,295319.291,295900.0689,297836.9924,299953.925,302418.4952,303775.4442,305262.0541,306233.9127,307383.3683,308586.0846,310533.7536,313308.1743,316518.4001,319857.1962,323835.83,328230.5632,331982.8031,333801.6337,334388.9343,335530.4477,337793.1522,341815.066,347162.1307,354307.3436,362405.9514,370199.6346,377713.6289,384704.2036,391726.9063,397727.1951,402733.2488,406514.242,409159.7021,411017.9531,412571.1035,414337.8406,416381.4801,419918.447,424842.2496,431499.7535,437835.6204,443553.2687,447766.1702,449775.2565,449335.4735,446713.3503,444449.0893,442674.9031,441673.3026,440841.7109,440130.3062,441058.7578,443200.1389,446693.5317,450211.5657,454077.9864,458888.2328,463448.3204,468478.9428,472448.6244,476555.6507,479330.1322,482412.0773,485588.2055,489258.8387,492335.0694,494933.3182,497393.5842,500688.328,503973.0234,507084.2944,509821.602,512469.6435,514388.8961,515378.8813,515158.5018,515428.5883,516510.7985,518356.433,519763.1569
58661,1082,2149,zip,MA,Everett,"Boston-Cambridge-Newton, MA-NH",Middlesex County,364358.4561,369416.3377,374490.3716,379533.1251,383977.5007,387750.6436,390353.245,392464.7649,395661.3841,399750.2454,404318.3715,407810.0754,410902.5496,413415.6702,416388.6807,419382.9496,422918.0571,426209.3346,429172.3142,431298.87,434197.6749,436734.6089,439468.3471,442342.9399,447048.2136,454038.8175,461005.6868,467228.0647,471642.3709,476508.9416,481870.3534,486395.6475,489306.383,490119.7558,490833.1893,491039.7045,491221.7977,492584.0329,495278.0744,499237.2414,501250.9149,501992.5594,501480.9145,500735.308,499840.4669,500650.3043,503521.1488,507146.3442,511273.1191,516207.9778,522032.7072,526760.6328,528936.1378,529773.7019,530683.8028,533074.169,537476.0512,542959.301,549660.5141,556076.8871,562233.0432,567892.3119,573719.2986,579450.951,585630.5738,591245.9011,595016.2122,595485.9966,593240.8868,591446.7267,590998.3432,592185.6434,596149.2802,603247.9793,613240.0708,622296.7618,629738.3249,634788.1245,636367.4142,633813.7149,627290.9911,621316.898,616996.4709,615738.2116,614854.7389,614209.7182,614840.324,617966.0588,623291.2763,628720.6233,633494.0116,638787.0838,643722.634,648264.5859,651703.4097,654661.711,657434.8675,660153.4699,664285.2041,669054.204,674320.5652,678161.0781,681307.11,683165.6544,684759.773,686103.8071,688243.3409,690681.3926,692096.5808,691619.2352,689032.7121,686900.8745,685301.2004,684492.4928,684493.6041
58539,1090,1902,zip,MA,Lynn,"Boston-Cambridge-Newton, MA-NH",Essex County,269422.4072,272477.4063,275554.8794,279164.1842,281805.2313,283932.7237,285540.5742,287303.2063,289623.8989,292709.0397,296427.3167,300187.3393,303674.5835,306982.5792,310023.5776,312523.9165,314753.0773,317437.7911,320796.2089,323806.3964,326790.7714,329703.0507,332903.3072,336098.2847,339143.2957,341517.915,343431.8302,345590.1619,348657.3267,352167.5011,355671.7326,358955.9286,361996.5423,364031.4457,365353.0735,366149.3137,367112.0535,368163.1097,369684.2581,372023.7307,374189.064,375726.5418,376568.9578,377601.7203,378948.2138,380848.3498,383786.0329,387396.6386,392116.5404,397582.0611,403413.6595,407977.8671,409921.4416,410091.4606,410583.1515,413525.0512,419323.2248,426640.0835,434387.3302,441785.0581,448585.2133,455441.1885,462500.2902,469244.5464,475007.6781,479401.2625,481513.4943,481659.625,480732.6622,481086.3243,482709.1577,484576.9466,488503.4915,493884.1711,502066.9716,509582.9317,516395.5006,521003.2598,522637.5028,521178.5022,517201.0329,513436.4416,510537.9288,508844.9085,507778.8434,506891.7593,507149.8828,508812.8511,511895.5223,515665.7432,519819.7226,525261.2577,530102.2935,534292.9265,537212.3413,540674.9585,544127.3328,547947.0949,551943.3133,556625.2913,560526.95,563756.9025,566707.6131,570338.0614,573713.9226,576339.3674,578298.3679,580804.721,582997.5386,585058.1129,584994.7702,584353.6404,583105.9944,582833.1467,583181.7111
58880,1248,2740,zip,MA,New Bedford,"Providence-Warwick, RI-MA",Bristol County,195751.0219,197352.4245,198640.1603,199971.3046,201634.0089,203475.5185,205017.6806,206091.6079,207190.7476,208452.7378,209837.1526,211291.717,212617.3429,214148.6856,215614.1168,216927.1823,218070.4105,219224.9295,220407.257,221142.2677,222030.1187,222849.6122,223979.7623,225153.8875,226698.67,228531.6335,230285.892,231757.0701,232597.3541,233235.8822,233991.1927,235161.3525,236567.3329,237572.6056,238498.5624,239180.139,239970.2756,241065.796,242458.4245,244348.7841,245636.4794,247007.4549,247958.1278,249101.5449,249904.1221,251018.9407,252930.2187,255110.1002,257554.0475,259303.5062,260767.0176,261757.8515,262435.3097,263040.5054,264197.844,266635.984,270492.1335,275813.3987,282101.9162,288804.8049,294728.0669,300672.9707,306467.5098,312725.7847,318266.6382,323576.5229,327442.007,330166.9706,331047.5606,331831.2855,333100.7958,335195.0035,339346.358,345317.9155,353060.3392,360452.4088,366225.7058,370367.9563,371977.7462,371381.9952,369082.1475,366722.1089,365269.91,364712.3483,364515.0938,365129.1748,366538.2065,368994.4864,371606.3317,374215.0966,377321.1116,381462.6368,386164.4057,390766.5747,394832.0855,398428.3381,401223.4447,403615.5683,406465.581,410038.8781,413500.3606,416145.4718,418366.3595,420844.9865,423589.9123,425994.6862,427606.6252,428890.5623,429576.5348,430085.1013,429664.6613,428991.258,428080.5743,426959.88,426436.0393
58863,1265,2703,zip,MA,Attleboro,"Providence-Warwick, RI-MA",Bristol County,291302.1245,292659.3558,293760.4175,294977.2823,296478.7676,298450.7217,300631.7894,302499.637,304262.2003,305813.3287,307127.9933,308369.2962,309952.9408,311887.3421,314064.3404,316127.5941,318244.4145,320285.4246,321890.0847,323357.0523,325160.5656,327135.5937,329230.5468,330791.7249,332245.5052,333426.7207,334719.2666,336363.5368,338259.5959,340408.7522,342382.9023,344176.3583,345599.2633,346227.5846,346299.3967,345876.7226,345722.1303,346255.4297,347365.0703,349103.4015,350913.0146,353188.3908,355286.1149,356409.8219,356575.9075,356767.2625,358191.9082,360118.9521,362717.7658,364694.2071,366716.3871,368208.0353,369069.9727,369805.0021,370954.3672,374050.057,379062.6639,385860.7832,393485.1226,401139.8047,407674.6166,414122.1812,420741.5291,428055.4284,435157.4324,441101.0603,444373.4636,444732.3105,443209.7212,442142.7216,442676.919,444619.6741,449641.9431,457573.0598,468240.364,478358.0392,486559.7178,492268.3228,494314.9563,492621.3872,488322.942,484595.8957,482202.6416,481136.1887,480254.9682,479997.1525,481225.0223,484386.8826,488948.4254,493251.3141,497289.1461,501412.1502,505300.7245,508772.4285,511286.5725,513290.8366,514520.4865,516553.7865,520353.3739,525391.1674,529662.7162,532768.6131,535624.8153,538900.6876,541906.1216,544795.2042,547379.6929,550253.1991,552188.1754,554082.6446,554720.8894,555038.3598,554145.7354,553050.9784,552895.5717
58642,1287,2128,zip,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,450415.6676,454587.0672,455993.9194,457441.9462,460393.0374,466320.2238,471473.4483,475953.4793,481004.0132,487604.8066,496128.2053,503776.5333,508463.3911,510469.7649,512547.9898,517494.0286,524464.7815,530973.6027,536363.0648,539989.8443,543522.6171,546291.3556,549065.0331,552612.8108,556735.9677,562757.123,568559.3647,576741.9671,584498.6686,591165.7103,595084.2998,598113.3882,601521.1077,605455.7247,610995.2381,615107.5678,617024.1184,615652.3731,614077.7227,614425.5537,614800.9461,616872.8121,617990.2226,619064.4781,619914.8277,622126.2727,625583.9939,627875.2972,627446.9423,627028.3991,629497.6922,635168.8565,641707.8753,645042.949,647405.0108,649266.5624,653491.3596,659331.3208,667030.198,673855.477,679780.7015,686758.7661,694862.005,702219.3131,706798.4734,709202.4741,711520.4396,713575.6261,715989.4221,718688.6447,720823.9019,722475.9109,725379.7298,731978.2336,742213.5063,752793.887,761641.5593,766966.2292,766349.9444,759938.1046,749363.9425,740720.4333,734755.9889,731764.338,727558.1129,722693.8735,721522.7084,724726.3578,731615.3898,735300.9147,738020.5048,739657.0841,740674.768,740546.1634,738322.784,738418.6076,742536.9749,751173.8519,761437.4103,770413.9054,777864.4347,782440.5811,786207.8441,789647.6016,792767.4136,794553.8791,795054.4957,795093.4652,795839.6594,797178.1898,798129.6172,799235.4683,797803.4447,797698.0162,794948.8977
58291,1306,1201,zip,MA,Pittsfield,"Pittsfield, MA",Berkshire County,162874.158,163339.7891,163733.7658,164157.9947,164667.2144,165239.911,165424.0304,165662.3095,165942.7291,166446.1891,166772.3882,166869.1369,166829.2409,166739.9624,166709.7453,166765.9607,167254.4935,167823.0258,168677.9128,169048.4546,169552.7054,169868.7998,170360.4739,171046.6181,171867.0407,173145.4868,174230.1112,175000.507,175138.1613,175241.9751,175917.708,176840.3809,178018.9247,178719.1899,179411.5074,179780.1342,180097.9422,180447.5857,180939.5446,181887.4251,183059.275,184339.6289,185020.2163,185400.4468,185937.7072,187025.1134,188391.1488,189323.6305,190053.5486,190513.4057,191261.9734,192412.7366,193670.0789,194725.4628,195944.6252,197676.2196,200202.5738,203298.6786,207176.647,211221.3548,214590.3353,217147.638,219333.1337,221611.2127,225113.3334,229723.7012,234324.5912,236863.5922,237648.8315,237833.9998,238876.3198,240532.9814,243793.9734,248225.9987,253595.3482,258805.7922,263133.4052,266651.93,268783.2233,269535.1856,269002.4462,268141.8666,267878.9157,268304.6465,269248.7045,270528.494,272269.3229,274606.1822,277621.8108,280644.6948,283548.5895,286374.471,288959.3612,291189.8003,292441.4339,292821.0992,292772.8539,293074.3096,294160.5247,295872.3883,297524.1557,299609.8503,301425.8815,303420.5113,304940.5078,306189.3893,306857.7743,307761.4909,308913.5214,310330.7507,311136.7802,311570.0939,311824.9685,312128.3081,312463.4167
58649,1428,2135,zip,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,700853.351,700510.2087,696185.5354,691339.058,692115.4316,694742.2905,698663.0992,700743.4029,703327.3923,705263.1267,711410.7142,718718.8693,723942.4907,725306.8543,725990.6522,729529.2712,736127.6239,745156.1039,753275.8664,758477.0919,760837.7247,761787.8629,763130.2773,765687.705,770493.1664,776331.7927,783987.1298,790770.3306,797002.0435,798514.5242,799230.0248,799359.2865,799486.2901,799185.8117,798475.3985,796590.2372,794097.1763,790476.8546,790530.0443,792796.6868,793592.8871,792517.2525,789232.8877,786979.4455,784527.1765,784524.3597,785386.2782,785545.3861,784053.5916,784008.1466,786777.5542,791593.2418,796455.5856,800525.3704,805492.7745,810224.7782,816202.1669,821284.1096,828035.5609,834824.7697,841542.9329,849295.5742,856993.6895,863581.8259,869440.2626,873808.9762,880398.4554,887294.0367,896861.4229,907623.0255,919174.781,929118.9462,932826.6625,933301.7424,934423.426,938987.5601,944353.8474,947626.6616,944629.4262,935700.027,920299.3051,908854.726,899215.3746,893500.6311,883260.0369,872595.7744,865690.6393,865758.8914,867639.8244,863848.0681,855781.8264,847513.9396,837130.4469,823190.1971,811536.2258,806061.2145,812109.1855,821362.9135,836100.8792,848180.2077,856580.7045,858902.3683,861114.0329,863570.3352,867587.9145,867116.7584,865562.5281,861668.0241,861022.3994,861927.1375,864323.0303,873553.6611,883690.1392,893349.8301,893219.8941
